0,1,2,3,4,5
-1.0366474,13.387909,-31.936884,-1.0486987,-32.539185,9.631612
-5.9458666,-22.412224,6.090498,4.195581,0.7299698,4.6851845
3.4449139,7.310011,17.939438,-9.096594,-3.211495,2.1597588
-5.669206,-9.437746,5.9839563,-3.6824265,5.629154,4.337017
-9.880008,-2.9772418,3.6611366,3.67126,5.5462136,9.660039
2.6486237,-15.840113,14.662756,2.5008812,2.8823326,8.078261
0.4259814,0.6003273,1.4386176,25.961834,-5.3759623,3.1883016
-6.1502423,-4.249395,9.312393,-5.357829,11.30311,16.911253
-4.8945403,-14.290303,15.086349,9.402216,-8.763277,8.954736
-8.719363,2.2596018,12.744263,-11.18052,-15.848645,-3.0667315
-11.545038,-15.108089,2.6326475,2.7973912,-11.658322,-6.8829083
-10.688033,-9.962966,6.7673106,-2.5289373,-14.058667,16.206102
-16.54831,9.747836,5.106763,11.758451,-4.8971186,-9.102988
4.5306067,7.8631926,11.968708,-3.5721147,-12.894285,8.687727
-10.933463,-12.576642,4.6418176,-3.2018385,8.962572,15.462658
4.4340477,-14.458019,-4.010618,2.573744,-2.0878544,6.4943967
-10.420496,-9.347482,16.069223,-2.1792996,-17.376822,4.5551033
-1.1821865,-3.9432526,11.824925,0.6729815,6.7657275,7.3231936
7.767064,-1.0429302,-2.9660716,3.234973,-21.68292,-0.7249028
-1.2692666,0.89294076,-3.962938,3.234433,-17.274096,0.70228434
-7.143772,-5.94291,3.4968424,-1.8140736,-8.3198185,2.2022693
6.3236394,-9.826826,14.287764,12.992633,-3.956083,-0.68634605
-18.800558,-11.736466,-2.2286952,-5.5593467,-1.4584987,-2.142373
-1.7004905,-10.459519,-3.5209439,-8.534073,-13.992782,1.3754861
0.6622585,15.217195,4.0998955,-4.585173,-17.030895,0.8131303
1.1581775,-12.414389,-0.531448,2.0779402,-17.328213,-7.216329
-11.384696,-5.2261267,10.478939,11.777624,-6.4234333,13.436184
198.80151,94.0242,-52.927166,214.16599,-66.47923,42.91728
9.964944,-3.6255667,12.008926,6.4843063,-12.107865,3.9248157
-12.545883,4.599915,-2.7910888,-16.285315,-5.056001,7.562811
-9.654322,-1.7549263,12.218943,5.6534915,6.185504,-5.3685102
0.86763847,-0.6408027,17.374525,-5.9124074,3.0639334,14.815567
-13.417956,0.8764293,5.165907,-3.6313837,-11.489692,-9.585896
-7.22217,-5.621628,-8.002895,-5.0738244,-10.031688,9.377113
4.8302293,11.936067,9.540704,-18.385153,-8.643457,6.3014145
46.419567,-1.9727856,13.318872,19.985043,-16.555105,-42.789204
-19.151604,-5.7703366,10.619284,4.9424915,-12.968376,12.976388
-10.3413,11.768957,2.2729068,9.611243,1.983867,8.8159895
24.494968,21.342653,15.506087,-25.159193,131.34091,-45.143215
-3.2310398,-13.749869,-8.350113,0.29993874,-19.358448,12.693139
0.5663109,0.22607742,0.79975575,-16.355742,-17.124142,6.139005
2.7277327,-21.748623,-5.626947,0.19774657,-5.1222606,-2.0459666
-51.686634,-1.385213,-10.621387,-19.473886,25.923134,57.492
-1.3526663,-0.16573703,5.920173,9.493348,-5.3656454,1.30022
-7.2537713,-7.37654,14.204088,-10.32258,-2.1080132,-4.4285836
-9.771098,9.106389,-0.033925563,7.0004187,-8.920644,-7.471167
-13.546353,-5.443923,18.144552,-7.436387,-12.470635,13.625613
6.9353857,3.1879454,8.8846,16.249916,-10.098103,2.8384697
