0,1,2,3,4,5
26.93137,-1.2483119,1.6948552,-0.38535708,-8.495297,-8.239318
-0.078658335,-0.5373065,3.6545672,26.085945,-3.1212764,-3.4948058
-2.3307974,-8.950396,89.685196,-2.487915,52.720566,52.284172
-17.032318,7.6100802,22.320595,-10.541078,-3.9591136,-3.8182113
-0.081169665,19.400265,6.5390162,1.6661882,2.5042043,5.9786944
9.8488655,12.501604,16.776539,-3.309725,-11.701563,2.1907742
-12.224107,-11.908513,14.3355665,-12.947883,-4.3883324,2.9418194
2.1375713,3.5723941,21.23956,1.7167555,-5.3708444,6.5067534
-10.944912,-11.908932,-6.1988697,-6.7015533,-6.9726405,-3.9221194
3.5743582,6.209386,6.260127,1.4535217,39.56232,10.307419
2.7475317,6.311166,12.614576,1.2867988,-4.314392,-16.32096
-9.665291,10.255331,4.3583007,-16.35645,2.2147834,2.9487538
6.2456822,6.742108,5.530515,1.363708,17.732164,-5.061388
-16.339613,9.101772,20.12783,3.7868032,0.58017695,-5.393622
10.639662,0.8984653,11.050887,-7.083226,-2.4837866,-17.705841
-9.490433,-9.456243,5.3735156,-0.45806506,-5.411821,3.1137846
0.14155778,-6.8720307,8.543665,1.0580411,-7.229054,-1.9665594
-10.089902,-4.69548,-3.5311763,8.236123,3.4657342,-15.567645
36.7877,25.060062,39.738815,47.9085,-68.360886,47.978798
-7.941866,12.533205,10.50293,-14.565155,-10.911171,-4.2760906
0.028665876,4.6639338,1.2077819,-2.5269256,21.948572,3.6579545
-7.5248485,6.484505,6.0470457,-15.199257,-14.957176,-11.1495695
-14.823602,3.462547,17.237804,-3.7177756,-3.4727008,7.3831472
-4.134942,5.399359,-0.21219054,-1.6326563,-8.738723,-7.3253636
-3.8439314,-5.504363,11.755877,-0.70828426,7.712848,-7.8365893
5.544611,-2.0151994,12.492524,-14.191982,5.099344,3.0932145
-1.2052038,-7.4258237,14.423637,-5.425645,-1.5825372,4.3671427
5.626737,-1.9476298,-1.7817259,-17.003263,-6.9467497,-11.324907
8.1759405,-17.378036,-22.010677,14.1479845,38.83574,6.40027
7.0974007,1.4939427,8.099121,-4.4495387,19.99183,3.7542062
-10.120093,-12.939106,2.4888964,11.941998,12.236437,0.07912853
-3.9972377,-2.0667412,4.547003,8.970281,9.508051,-15.927141
7.5212255,15.1773,-7.3824177,-10.814812,-9.479829,0.43766615
-13.629278,-1.7199279,-4.6259303,-5.2793493,-1.6574435,-0.37013197
-15.640135,-1.6975712,2.0959022,-14.03044,7.66843,-20.110289
-18.007132,13.870621,-4.832809,-6.2930837,10.509428,-3.2541542
-11.152027,-13.566828,3.0904455,6.104118,0.73487085,-9.17001
-7.673595,8.450225,13.585056,-1.9192653,11.268036,-9.471819
38.300755,37.33517,1.3966901,-13.354423,25.127548,17.554619
10.272479,8.82885,7.6243863,-1.7923955,3.1121597,-10.903115
3.2395327,18.657345,0.05675504,-8.502363,9.252021,-9.957805
-14.393124,-1.3194952,10.333475,-26.171568,25.566511,-34.869556
-5.5867443,-3.1199174,-2.1178403,4.78237,23.288551,1.0352753
10.061289,10.539877,-0.3488354,1.4159516,-1.6105152,0.24408677
11.514104,9.575476,2.9224205,0.59403,-10.495286,-13.218902
-4.539575,-6.590715,-0.27223596,0.9944441,-22.5321,-3.304433
-12.040972,0.6270327,13.994433,-5.262206,14.666087,-2.2064419
-4.424797,-5.6674533,-2.3049457,13.256199,-7.2546673,-16.736467
-11.398011,-6.1822352,-4.056721,7.920159,0.22333118,-0.00510338
-3.8807456,3.5788295,-3.2563443,4.854192,-17.467342,4.309139
-1.707249,15.403682,-1.9631945,-9.512566,-10.400154,-3.6089406
-4.3304334,12.867604,-3.856562,-1.4137808,-0.24817523,-3.231107
-10.567357,15.150933,6.243301,-1.3982956,-8.179289,-13.830066
-19.433887,7.9999437,0.898733,2.9081285,2.4222302,-15.791157
5.3531666,-13.044906,12.051899,-4.735363,9.762139,-0.26404214
-1.7126231,15.1092205,1.6160337,2.3019643,-15.766673,-15.376116
-7.5249705,5.846199,9.278953,-8.365305,8.754232,-17.146238
